               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013072,           0.0094647,            0.079631,           0.0047731,             0.99512,            0.049737,            0.045268,           0.0054417,           0.0032923,             0.03917,           0.0096634,           0.0096634,           0.0096634
                  36,            0.014092,            0.009665,            0.079973,           0.0047873,                   1,            0.057095,            0.049527,           0.0073629,           0.0034767,            0.039136,           0.0096535,           0.0096535,           0.0096535
                  37,            0.015989,           0.0099692,            0.083551,           0.0047834,             0.98537,            0.058939,            0.053743,           0.0047395,           0.0030273,            0.039062,           0.0096436,           0.0096436,           0.0096436
                  38,            0.014473,           0.0087557,             0.07948,           0.0048489,             0.99512,            0.061651,            0.058668,           0.0077457,           0.0028716,            0.039001,           0.0096337,           0.0096337,           0.0096337
                  39,            0.014405,           0.0092756,            0.082364,           0.0048707,                   1,            0.063405,            0.056574,           0.0060713,           0.0033572,            0.039006,           0.0096238,           0.0096238,           0.0096238
                  40,            0.015188,           0.0083191,            0.081584,           0.0048715,             0.99024,            0.060915,            0.055561,           0.0058369,           0.0031513,            0.038997,           0.0096139,           0.0096139,           0.0096139
                  41,            0.012485,           0.0093182,            0.079669,           0.0048526,             0.99512,            0.052757,             0.04903,           0.0083277,            0.002748,            0.038892,            0.009604,            0.009604,            0.009604
                  42,            0.015471,           0.0090571,            0.081476,           0.0048719,                   1,            0.053468,            0.049553,           0.0064506,           0.0029141,            0.038873,           0.0095941,           0.0095941,           0.0095941
                  43,            0.011821,            0.008577,            0.081005,           0.0048915,                   1,            0.062693,            0.058668,            0.007071,           0.0029003,            0.038916,           0.0095842,           0.0095842,           0.0095842
                  44,            0.013242,           0.0087608,             0.08089,           0.0048608,                   1,            0.063781,            0.053552,           0.0052031,           0.0037348,             0.03892,           0.0095743,           0.0095743,           0.0095743
                  45,            0.015226,           0.0088145,            0.079484,           0.0048705,             0.99024,            0.062265,            0.050176,           0.0076487,           0.0035949,            0.038906,           0.0095644,           0.0095644,           0.0095644
                  46,            0.012004,           0.0093395,            0.079386,           0.0048285,             0.98537,            0.067164,            0.060488,            0.007277,           0.0031814,            0.038884,           0.0095545,           0.0095545,           0.0095545
                  47,            0.011855,           0.0085348,            0.079745,           0.0048361,                   1,             0.06033,             0.05089,           0.0072272,           0.0030035,            0.038937,           0.0095446,           0.0095446,           0.0095446
                  48,            0.012383,           0.0081908,            0.081142,           0.0048902,                   1,            0.062407,            0.057469,           0.0046374,           0.0029535,            0.038928,           0.0095347,           0.0095347,           0.0095347
                  49,            0.013675,           0.0089546,            0.080607,           0.0048952,                   1,            0.053885,            0.051184,           0.0046285,           0.0026323,            0.038855,           0.0095248,           0.0095248,           0.0095248
                  50,            0.011558,           0.0081202,            0.077553,           0.0048865,                   1,            0.056262,             0.05318,           0.0065309,           0.0029409,            0.038862,           0.0095149,           0.0095149,           0.0095149
                  51,            0.012353,           0.0087536,            0.079302,           0.0048762,                   1,            0.059389,            0.056056,           0.0064908,           0.0029177,            0.038872,            0.009505,            0.009505,            0.009505
                  52,            0.011662,           0.0082207,            0.080814,           0.0048388,                   1,             0.05359,            0.050168,           0.0047722,           0.0028796,            0.038883,           0.0094951,           0.0094951,           0.0094951
                  53,            0.015812,           0.0091561,            0.085796,           0.0048751,             0.99512,            0.050295,            0.046716,           0.0049895,           0.0025793,            0.038791,           0.0094852,           0.0094852,           0.0094852
                  54,             0.01203,           0.0083055,            0.080621,            0.004889,                   1,            0.063417,            0.059094,           0.0045901,           0.0029875,            0.038775,           0.0094753,           0.0094753,           0.0094753
                  55,            0.013008,           0.0080731,            0.078779,           0.0048849,                   1,            0.057188,            0.052615,           0.0043463,           0.0027924,            0.038769,           0.0094654,           0.0094654,           0.0094654
                  56,            0.012324,            0.007819,            0.080609,           0.0048829,                   1,            0.070591,            0.065242,            0.004403,           0.0029526,             0.03865,           0.0094555,           0.0094555,           0.0094555
                  57,            0.013566,           0.0082085,            0.078771,           0.0048818,                   1,             0.06984,            0.052321,           0.0064039,           0.0030341,             0.03867,           0.0094456,           0.0094456,           0.0094456
                  58,            0.011833,           0.0083388,            0.078866,           0.0048546,                   1,            0.070629,             0.06753,           0.0052919,           0.0037861,            0.038655,           0.0094357,           0.0094357,           0.0094357
                  59,            0.010241,           0.0080003,            0.078973,           0.0047701,             0.99512,            0.073668,            0.068814,           0.0050757,           0.0029013,            0.038667,           0.0094258,           0.0094258,           0.0094258
                  60,            0.010175,           0.0076046,            0.078972,           0.0048387,                   1,            0.082856,            0.068121,            0.005614,           0.0028254,            0.038619,           0.0094159,           0.0094159,           0.0094159
                  61,            0.012069,            0.007809,            0.080572,            0.004811,             0.99512,            0.077123,             0.07292,           0.0047109,           0.0030021,            0.038584,            0.009406,            0.009406,            0.009406
                  62,            0.013487,           0.0080301,            0.081586,            0.004848,             0.99512,            0.076889,            0.060408,           0.0062761,           0.0027211,            0.038478,           0.0093961,           0.0093961,           0.0093961
                  63,           0.0096965,           0.0084218,            0.078977,             0.00487,                   1,            0.068357,            0.065488,           0.0043974,           0.0030245,            0.038383,           0.0093862,           0.0093862,           0.0093862
                  64,            0.011204,           0.0079314,            0.082631,           0.0048724,                   1,             0.07004,            0.067303,           0.0039937,           0.0031022,             0.03827,           0.0093763,           0.0093763,           0.0093763
                  65,            0.014079,            0.008304,            0.082394,           0.0049204,             0.99512,            0.067224,            0.054065,            0.006758,           0.0027854,            0.038284,           0.0093664,           0.0093664,           0.0093664
                  66,             0.01338,             0.00838,            0.082155,           0.0049254,                   1,            0.069001,            0.066092,           0.0059639,           0.0028639,            0.038297,           0.0093565,           0.0093565,           0.0093565
                  67,            0.012145,           0.0077771,             0.08057,           0.0048986,                   1,            0.082113,            0.072635,           0.0054038,           0.0032685,            0.038301,           0.0093466,           0.0093466,           0.0093466
                  68,           0.0099448,           0.0081832,            0.079073,           0.0049081,                   1,            0.079505,            0.077044,           0.0035033,           0.0032017,            0.038309,           0.0093367,           0.0093367,           0.0093367
                  69,            0.011419,           0.0074915,            0.080369,           0.0048858,                   1,            0.075464,            0.065206,           0.0049812,           0.0028092,            0.038361,           0.0093268,           0.0093268,           0.0093268
                  70,            0.012243,           0.0076135,            0.082247,           0.0048826,                   1,            0.074798,             0.07139,           0.0045524,           0.0026076,            0.038295,           0.0093169,           0.0093169,           0.0093169
                  71,            0.011827,           0.0079895,            0.083467,           0.0048786,                   1,            0.084212,            0.078544,           0.0046388,           0.0027377,            0.038256,            0.009307,            0.009307,            0.009307
                  72,            0.011266,           0.0076194,            0.080473,           0.0048799,                   1,            0.072847,            0.062008,           0.0060965,           0.0030523,            0.038287,           0.0092971,           0.0092971,           0.0092971
                  73,            0.013317,           0.0078134,            0.076821,           0.0048622,                   1,            0.077625,            0.074716,            0.006093,           0.0030272,            0.038308,           0.0092872,           0.0092872,           0.0092872
                  74,            0.012409,           0.0073846,            0.082011,           0.0048729,                   1,             0.08325,            0.074441,            0.004384,           0.0024783,            0.038301,           0.0092773,           0.0092773,           0.0092773
                  75,            0.010797,           0.0074307,            0.081635,           0.0049089,                   1,            0.076225,            0.070424,           0.0047114,           0.0023903,            0.038228,           0.0092674,           0.0092674,           0.0092674
                  76,            0.011986,           0.0075853,            0.078036,           0.0049408,                   1,            0.081144,            0.074512,           0.0041834,           0.0024383,            0.038153,           0.0092575,           0.0092575,           0.0092575
                  77,            0.011351,           0.0077914,            0.078166,           0.0049157,                   1,            0.076794,            0.073413,           0.0044822,           0.0024072,            0.038101,           0.0092476,           0.0092476,           0.0092476
                  78,            0.010277,           0.0074028,            0.080163,            0.004876,                   1,              0.0824,            0.077764,           0.0038648,           0.0027251,            0.038165,           0.0092377,           0.0092377,           0.0092377
                  79,            0.010285,           0.0077796,            0.078733,           0.0048776,                   1,            0.076931,            0.073065,            0.004164,           0.0032896,            0.038189,           0.0092278,           0.0092278,           0.0092278
                  80,           0.0091185,            0.007322,            0.078968,           0.0048774,                   1,            0.093477,            0.081734,           0.0053552,           0.0035248,            0.038261,           0.0092179,           0.0092179,           0.0092179
                  81,            0.010963,           0.0075786,            0.082072,           0.0048743,                   1,            0.093889,            0.085769,            0.005665,           0.0038646,            0.038201,            0.009208,            0.009208,            0.009208
                  82,            0.010568,           0.0074868,            0.078626,           0.0048765,                   1,            0.085945,            0.062939,           0.0083387,            0.003752,            0.038078,           0.0091981,           0.0091981,           0.0091981
                  83,            0.011258,           0.0076704,            0.078599,           0.0048874,                   1,            0.088811,            0.077435,           0.0040262,           0.0031643,             0.03802,           0.0091882,           0.0091882,           0.0091882
                  84,             0.01178,           0.0078295,            0.079812,           0.0048327,             0.99512,             0.08833,            0.078027,           0.0048237,           0.0032494,               0.038,           0.0091783,           0.0091783,           0.0091783
                  85,            0.011997,           0.0077217,              0.0787,           0.0048689,                   1,            0.085397,            0.077498,           0.0038621,           0.0030383,            0.038011,           0.0091684,           0.0091684,           0.0091684
                  86,            0.011079,           0.0082346,            0.080037,           0.0048694,                   1,             0.08142,            0.078734,           0.0049171,           0.0029205,            0.037976,           0.0091585,           0.0091585,           0.0091585
                  87,            0.008932,           0.0069859,            0.078303,           0.0048464,             0.99512,            0.088021,            0.074564,           0.0052066,            0.002758,            0.037969,           0.0091486,           0.0091486,           0.0091486
                  88,            0.010205,           0.0072116,            0.078432,           0.0048912,                   1,            0.085064,            0.079464,           0.0048341,           0.0028479,             0.03794,           0.0091387,           0.0091387,           0.0091387
                  89,            0.012808,           0.0077168,            0.081204,           0.0048925,                   1,            0.086218,            0.082305,           0.0057491,           0.0031353,            0.037886,           0.0091288,           0.0091288,           0.0091288
                  90,            0.010242,           0.0071472,             0.07798,           0.0049051,                   1,            0.084833,            0.082007,           0.0034528,           0.0026696,            0.037855,           0.0091189,           0.0091189,           0.0091189
                  91,            0.010511,           0.0075591,            0.078424,           0.0049101,                   1,             0.07912,            0.073757,           0.0043491,           0.0025895,            0.037812,            0.009109,            0.009109,            0.009109
                  92,            0.010865,           0.0076167,            0.079932,           0.0049117,                   1,            0.087006,            0.079312,           0.0049691,           0.0026779,            0.037836,           0.0090991,           0.0090991,           0.0090991
                  93,             0.01152,           0.0073122,            0.079583,           0.0048967,                   1,            0.082838,            0.079413,           0.0039006,           0.0025443,            0.037737,           0.0090892,           0.0090892,           0.0090892
                  94,            0.009997,           0.0066793,            0.078331,           0.0048872,                   1,            0.083542,            0.069371,           0.0061068,           0.0024919,            0.037684,           0.0090793,           0.0090793,           0.0090793
                  95,            0.010908,           0.0070748,            0.078737,           0.0048916,                   1,             0.08291,             0.07857,            0.003728,           0.0024886,            0.037656,           0.0090694,           0.0090694,           0.0090694
                  96,            0.010434,           0.0068186,            0.079603,           0.0048797,                   1,            0.087395,            0.079457,           0.0045985,           0.0027413,            0.037642,           0.0090595,           0.0090595,           0.0090595
                  97,            0.010436,           0.0075847,            0.078275,           0.0048795,                   1,            0.081589,            0.068895,           0.0046071,           0.0029353,            0.037636,           0.0090496,           0.0090496,           0.0090496
                  98,            0.011313,           0.0074004,            0.079693,           0.0048981,                   1,            0.078924,            0.075155,           0.0040021,           0.0028403,            0.037562,           0.0090397,           0.0090397,           0.0090397
                  99,            0.010571,           0.0074507,            0.079543,           0.0049014,                   1,            0.086541,            0.083273,           0.0050126,            0.002871,            0.037555,           0.0090298,           0.0090298,           0.0090298
                 100,            0.010481,           0.0072093,            0.077987,           0.0049135,                   1,            0.082965,            0.079051,           0.0032791,           0.0028015,            0.037598,           0.0090199,           0.0090199,           0.0090199
                 101,            0.010116,           0.0070267,            0.078185,           0.0049017,                   1,            0.098969,            0.087566,           0.0049635,           0.0027108,            0.037655,             0.00901,             0.00901,             0.00901
                 102,            0.011315,           0.0075825,            0.079426,           0.0049014,                   1,            0.092372,            0.088951,           0.0048255,           0.0025718,            0.037611,           0.0090001,           0.0090001,           0.0090001
                 103,            0.010237,           0.0071181,            0.077254,           0.0049243,                   1,            0.085745,            0.082365,           0.0043316,           0.0026419,            0.037578,           0.0089902,           0.0089902,           0.0089902
                 104,           0.0099535,           0.0073268,            0.077573,           0.0049287,                   1,            0.088634,            0.078787,           0.0058143,           0.0027825,            0.037537,           0.0089803,           0.0089803,           0.0089803
                 105,            0.010768,             0.00702,            0.077701,           0.0049277,                   1,            0.083284,            0.079023,           0.0045819,           0.0026544,            0.037473,           0.0089704,           0.0089704,           0.0089704
                 106,           0.0093547,           0.0071185,            0.077712,           0.0049222,                   1,            0.098572,             0.09516,           0.0040061,           0.0030472,             0.03744,           0.0089605,           0.0089605,           0.0089605
